Oe6_s11298	gi|1085834887|emb|LT629751.1|	73.87	685	157	22	125	798	2086856	2087529	4e-63	254
Oe6_s11298	gi|949810026|gb|CP013124.1|	76.02	538	93	30	93	612	3301474	3301993	7e-61	246
Oe6_s11298	gi|333113473|gb|CP002727.1|	75.60	504	109	14	119	615	2937743	2938239	4e-58	237
Oe6_s11298	gi|1160542838|gb|CP017290.1|	75.33	531	109	22	93	612	3143096	3143615	2e-57	235
Oe6_s11298	gi|954626566|gb|CP013099.1|	76.02	467	90	18	121	576	2066732	2067187	1e-53	222
Oe6_s11298	gi|985797736|dbj|AP014936.1|	74.95	471	106	12	121	585	1915920	1916384	1e-48	206
Oe6_s11298	gi|546336137|gb|CP006667.1|	74.69	490	110	14	103	588	3134014	3134493	1e-48	206
Oe6_s11298	gi|1010930018|gb|CP014844.1|	75.11	462	97	16	121	576	3476184	3476633	6e-47	200
Oe6_s11298	gi|1151208071|gb|CP017757.1|	74.84	461	100	12	121	576	2993518	2993967	3e-45	195
Oe6_s11298	gi|817568272|gb|CP006256.1|	74.14	522	111	22	118	627	4228095	4228604	3e-45	195
Oe6_s11298	gi|170937689|emb|CU633749.1|	74.89	462	98	16	121	576	2188719	2189168	3e-45	195
Oe6_s11298	gi|34105712|gb|AE016825.1|	74.60	496	100	23	121	603	3705823	3706305	3e-45	195
Oe6_s11298	gi|1085971387|emb|LT629780.1|	72.86	597	146	14	93	681	2214054	2213466	3e-44	191
Oe6_s11298	gi|1085875934|emb|LT629760.1|	77.10	345	67	11	277	615	5617190	5617528	1e-43	189
Oe6_s11298	gi|1004838700|gb|CP012943.1|	74.68	474	96	22	121	585	3155964	3155506	1e-43	189
Oe6_s11298	gi|1004833870|gb|CP012939.1|	74.68	474	96	22	121	585	2561519	2561061	1e-43	189
Oe6_s11298	gi|998213302|gb|CP014343.1|	74.07	509	110	21	118	615	1694050	1693553	1e-43	189
Oe6_s11298	gi|334194119|gb|CP002819.1|	74.68	474	96	22	121	585	2423296	2423754	1e-43	189
Oe6_s11298	gi|1229741568|gb|CP021764.1|	74.53	475	95	24	121	585	1108174	1107716	6e-42	183
Oe6_s11298	gi|1057942911|gb|CP015639.1|	77.30	348	55	16	277	612	4505928	4506263	6e-42	183
Oe6_s11298	gi|299070035|emb|FP885897.1|	74.53	475	95	23	121	585	2388705	2389163	6e-42	183
Oe6_s11298	gi|691224436|gb|CP009455.1|	73.88	513	108	25	118	617	4548644	4549143	2e-41	182
Oe6_s11298	gi|1243303673|gb|CP023299.1|	73.67	509	112	21	118	615	991986	992483	3e-40	178
Oe6_s11298	gi|930568023|gb|CP012687.1|	74.26	474	98	22	121	585	1580426	1579968	3e-40	178
Oe6_s11298	gi|1004328794|gb|CP014702.1|	74.03	466	97	22	121	577	2534110	2534560	2e-37	169
Oe6_s11298	gi|1131747818|emb|LT707062.1|	73.28	509	114	20	118	615	2558581	2558084	6e-37	167
Oe6_s11298	gi|1236402766|gb|CP022960.1|	75.73	342	71	11	277	612	6397295	6397630	3e-35	161
Oe6_s11298	gi|229359445|emb|AM181176.4|	75.80	343	69	13	277	612	5179381	5179716	3e-35	161
Oe6_s11298	gi|512374267|dbj|AP013068.1|	74.19	434	88	22	191	612	4158103	4158524	1e-34	159
Oe6_s11298	gi|1151244582|gb|CP019912.1|	73.61	466	99	22	121	577	727347	727797	4e-34	158
Oe6_s11298	gi|344170422|emb|FR854082.1|	73.61	466	99	22	121	577	194757	195207	4e-34	158
Oe6_s11298	gi|299076774|emb|FP885906.2|	73.61	466	99	22	121	577	2457195	2457645	4e-34	158
Oe6_s11298	gi|785763558|gb|CP005975.1|	75.44	342	72	11	277	612	3270597	3270262	1e-33	156
Oe6_s11298	gi|761529391|gb|CP010896.1|	75.44	342	72	11	277	612	4679690	4680025	1e-33	156
Oe6_s11298	gi|646231607|gb|CP007637.1|	75.44	342	72	11	277	612	4653743	4654078	1e-33	156
Oe6_s11298	gi|947268313|gb|CP013106.1|	72.04	565	142	16	125	681	1702472	1701916	5e-33	154
Oe6_s11298	gi|770603614|gb|CP010799.2|	71.90	630	145	26	121	737	1993721	1993111	5e-33	154
Oe6_s11298	gi|745803723|gb|CP004387.1|	73.19	470	108	15	125	585	1881280	1880820	5e-33	154
Oe6_s11298	gi|315593157|gb|CP002417.1|	75.50	347	67	16	121	458	1705291	1704954	5e-33	154
Oe6_s11298	gi|344174027|emb|FR854089.1|	73.39	466	100	22	121	577	186807	186357	2e-32	152
Oe6_s11298	gi|975029867|gb|CP013987.1|	71.64	596	149	19	96	681	3469757	3470342	8e-31	147
Oe6_s11298	gi|1247266915|gb|CP023537.1|	72.88	472	108	18	121	585	2261571	2262029	3e-30	145
Oe6_s11298	gi|1021441185|gb|CP011257.1|	72.88	472	108	18	121	585	2926103	2925645	3e-30	145
Oe6_s11298	gi|627771689|gb|CP007509.1|	72.67	472	103	23	118	576	1669315	1668857	6e-27	134
Oe6_s11298	gi|345641016|dbj|AP012224.1|	72.59	467	100	21	121	573	3416876	3417328	3e-25	128
Oe6_s11298	gi|937996820|gb|CP012897.1|	71.89	491	107	27	109	585	2402500	2402973	8e-21	113
Oe6_s11298	gi|1008271296|gb|CP014754.1|	80.85	141	27	0	230	370	4268283	4268143	3e-20	111
Oe6_s11298	gi|333805788|gb|CP002738.1|	72.31	390	94	13	514	894	3854358	3854742	1e-19	110
Oe6_s11298	gi|114225560|gb|CP000453.1|	71.20	441	121	6	121	558	1624810	1625247	1e-18	106
Oe6_s11298	gi|1218526113|gb|CP022423.1|	73.62	254	63	4	121	372	484329	484078	3e-15	95.3
Oe6_s11298	gi|1209540702|gb|CP021995.1|	78.72	141	26	4	230	368	366427	366565	4e-14	91.6
Oe6_s11298	gi|1030080662|gb|CP015614.1|	71.11	360	91	12	233	588	1442058	1442408	1e-09	76.8
Oe6_s11298	gi|459236826|gb|KC231035.1|	89.47	57	6	0	190	246	528	472	1e-08	73.1
Oe6_s11298	gi|1210964202|gb|CP022048.1|	82.72	81	10	4	509	588	3008088	3008011	2e-07	69.4
Oe6_s11298	gi|1025712797|gb|CP015511.1|	84.06	69	9	2	509	576	1384072	1384139	2e-06	65.8
Oe6_s11298	gi|240863652|gb|CP001644.1|	92.68	41	3	0	303	343	1035419	1035379	1e-04	60.2
Oe6_s11298	gi|1110925315|ref|XM_003455247.4|	96.88	32	1	0	119	150	2172	2141	0.005	54.7
Oe6_s11298	gi|908541250|ref|XM_005459729.2|	96.88	32	1	0	119	150	1583	1552	0.005	54.7
Oe6_s11298	gi|908541248|ref|XM_005459728.2|	96.88	32	1	0	119	150	1592	1561	0.005	54.7
