Oe6_s07179	gi|12054837|emb|AJ243943.1|	90.84	131	12	0	1	131	131	1	2e-39	176
Oe6_s07179	gi|2664193|emb|AJ002765.1|	91.36	81	6	1	1107	1186	81	1	2e-19	110
Oe6_s07179	gi|2664193|emb|AJ002765.1|	91.03	78	6	1	1667	1743	78	1	1e-17	104
Oe6_s07179	gi|2664193|emb|AJ002765.1|	88.73	71	6	2	73	142	80	11	4e-12	86.1
Oe6_s07179	gi|12054838|emb|AJ243944.1|	92.11	76	5	1	1966	2040	76	1	3e-18	106
Oe6_s07179	gi|12054838|emb|AJ243944.1|	90.91	77	7	0	1565	1641	77	1	1e-17	104
Oe6_s07179	gi|12054838|emb|AJ243944.1|	90.54	74	7	0	1646	1719	76	3	5e-16	99.0
Oe6_s07179	gi|12054838|emb|AJ243944.1|	89.61	77	7	1	1327	1402	77	1	2e-15	97.1
Oe6_s07179	gi|12054838|emb|AJ243944.1|	88.16	76	9	0	769	844	76	1	9e-14	91.6
Oe6_s07179	gi|12054838|emb|AJ243944.1|	87.01	77	9	1	1486	1561	77	1	4e-12	86.1
Oe6_s07179	gi|12054838|emb|AJ243944.1|	86.84	76	10	0	1009	1084	76	1	4e-12	86.1
Oe6_s07179	gi|12054838|emb|AJ243944.1|	86.84	76	10	0	1406	1481	77	2	4e-12	86.1
