intersect_bp,f_orig_query,f_found_genome,name
272000.0,0.0020184330429362262,0.000297785222408338,Neosp1_AssemblyScaffolds.fasta.gz
145000.0,0.010852481101713943,0.00015874579871032725,"LVWM01000001.1 Aureobasidium pullulans isolate Santander contig_1, whole genome shotgun sequence"
166000.0,0.0008098346317681929,0.0001817365695580298,Anasp1_AssemblyScaffolds.fasta.gz
183000.0,0.0005693763139453399,0.00020034814595855092,Orpsp1_1_AssemblyScaffolds.fasta.gz
68000.0,0.0013365075387378356,7.44463056020845e-05,"MSDY01000045.1 Aureobasidium sp. FSWF8-4 FSW8-bin-4-scaffold_100, whole genome shotgun sequence"
32000.0,0.0014995715509854327,3.5033555577451525e-05,"LZZZ01000001.1 Ustilago cynodontis strain NBRC 9727 NODE_1, whole genome shotgun sequence"
27000.0,0.001651003302006604,2.9559562518474725e-05,"CAGI01000713.1 Ustilago hordei Uh4857-4 WGS project CAGI00000000 data, contig UHOR_scaffold_4.01268, whole genome shotgun sequence"
50000.0,0.0005117707267144319,5.473993058976801e-05,Phycomyces_blakesleeanus_v2_scaffolds.fasta.gz
55000.0,0.0003858322401419863,6.021392364874481e-05,Croqu1_AssemblyScaffolds.fasta.gz
29000.0,0.00019670569721816732,3.1749159742065445e-05,Melli1_AssemblyScaffolds.fasta.gz
66000.0,0.0006108320890457446,7.225670837849377e-05,Aurpu_var_pul1_AssemblyScaffolds.fasta.gz
56000.0,0.0006325332958498788,6.130872226054017e-05,Cunech1_AssemblyScaffolds.fasta.gz
37000.0,0.0004475399289530363,4.050754863642833e-05,Calful1_AssemblyScaffolds.fasta.gz
97000.0,0.0003438158980471257,0.00010619546534414994,Pirfi3_AssemblyScaffolds.fasta.gz
14000.0,0.0003777029366403324,1.5327180565135043e-05,"AFRD01000864.1 Periglandula ipomoeae IasaF13 contig27004, whole genome shotgun sequence"
52000.0,0.000342711156805932,5.692952781335873e-05,Pilano1_AssemblyScaffolds.fasta.gz
38000.0,0.00022999667782576473,4.160234724822369e-05,Clabul1_AssemblyScaffolds.fasta.gz
25000.0,0.00024281421677239203,2.7369965294884005e-05,Spifus1_AssemblyScaffolds.fasta.gz
52000.0,0.0002621035683528663,5.692952781335873e-05,Cokrec1_AssemblyScaffolds.fasta.gz
79000.0,0.000175530981218185,8.648909033183346e-05,PirE2_1_AssemblyScaffolds.fasta.gz
37000.0,0.0004039044092898014,4.050754863642833e-05,Lodelo1_AssemblyScaffolds.fasta.gz
17000.0,0.00015985506474130122,1.8611576400521126e-05,Aspind1_AssemblyScaffolds.fasta.gz
17000.0,0.00010909408273695235,1.8611576400521126e-05,Colzo1_AssemblyScaffolds.fasta.gz
13000.0,0.00011753091062949555,1.4232381953339683e-05,Zycmex1_AssemblyScaffolds.fasta.gz
24000.0,4.975470928323366e-05,2.6275166683088645e-05,Chove1_AssemblyScaffolds.fasta.gz
15000.0,7.376045554457344e-05,1.6421979176930402e-05,Acema1_AssemblyScaffolds.fasta.gz
18000.0,0.00014798153190481828,1.9706375012316486e-05,Asphet1_AssemblyScaffolds.fasta.gz
37000.0,0.0001271051795360661,4.050754863642833e-05,Thaele1_AssemblyScaffolds.fasta.gz
